1,"Standard 1","Utilize the college and career skills of a historian to study continuity and change over time for one’s personal history and one’s community. "
2,"Understanding","The development of historical thinking skills begins in kindergarten by comparing individuals and examining the ways in which they change and/or remain the same over time. "
3,"K.H.1","Identify similarities and differences between oneself and others. This indicator was developed to encourage inquiry into students’ individual characteristics in relation to those of their classmates. "
4,"K.H.2","Examine ways in which individuals change or stay the same over time. This indicator was developed to encourage inquiry into the ways that people change or stay the same over various periods of time, including days, weeks, and the school year. "
5,"K.H.3","Identify different forms of evidence used in historical inquiry, such as digital sources, maps, photographs/images, or texts. This indicator was developed to encourage inquiry into what one can learn about the world by identifying and utilizing primary sources. "
6,"Standard 2","Utilize the college and career skills of a geographer to apply map skills and draw conclusions about place in one’s personal community. "
7,"Understanding","Map literacy skills are essential to the synthesizing of cultural and natural information which allows for geographic questioning within the social studies standards. "
8,"K.G.1","Identify a map, various map features, and explain the purpose of Geography maps. This indicator was developed to encourage inquiry into the purpose of maps and begin to recognize how the parts of maps are used to gain information (e.g., map title, map key/legend). This indicator was also developed to encourage the use of positional words used to describe locations on maps. "
9,"K.G.2","Utilize sources of geographic information (e.g., digital sources, maps, or photographs/images) to define and identify cultural and/or natural features. This indicator was developed to encourage inquiry into natural features, such as mountains, oceans, and rivers and cultural features, such as buildings, restaurants, roads, and stores. "
10,"K.G.3","Describe and compare the cultural and natural environment around one’s home and school by constructing a visual representation. This indicator was developed to encourage inquiry into how the cultural and natural features in the students’ community vary from one place to another, and to create a map or other representation to communicate those differences. "
11,"Standard 3","Utilize the college and career skills of an economist to understand how economic decisions affect one’s personal community. "
12,"Understanding","Fundamental economic concepts introduced in kindergarten are developed throughout social studies education and impact one’s everyday choices. "
13,"K.E.1","Identify and compare wants and needs. This indicator was developed to encourage inquiry into the differences between wants and needs and that different individuals have different wants and needs. "
14,"K.E.2","Explain how wants and needs change over time. This indicator was designed to encourage inquiry into how wants and needs change as individuals grow and change. "
15,"K.E.3","Explain why people have jobs, and describe the economic benefits for self and community. This indicator was developed to encourage inquiry into how jobs allow community members to have consumer choice and to meet individual needs. "
16,"K.E.4","Identify an economic want or need at one’s school or community level and create a solution. This indicator was developed to encourage inquiry into real world economic wants and needs and encourage hands-on practice to find possible solutions. "
17,"Standard 4","Utilize the college and career skills of a political scientist to understand and display civic dispositions in one’s personal community. "
18,"Understanding","Attributes of responsible citizenship requires individuals of diverse cultural backgrounds to employ dispositions to promote strong relationships. "
